name,genre,developer,classification
The Last of Us,Action-adventure,Naughty Dog,M
Red Dead Redemption II,Action-adventure,Rockstar Studios,M
God of War,Action-adventure,Santa Monica Studio,M
Fortnite,Battle royale,Epic Games,T
